* Colored cells are formulas so should not be edited.,,,,,,,,,,,,
,,,,,,,,,,,,
Day,Start,End,Duration (Minutes),Activity,Title,Resource Person(s),Activity,Title,Resource Person(s),Activity,Title,Resource Person(s)
Feb 25,8:00 AM,9:00 AM,60,Registration,"Registration, Morning Coffee",Secretariat,,,,,,
,9:00 AM,9:05 AM,5,Preliminaries,"Doxology, National Anthem, Bagong Pilipinas, CHED Hymn",Secretariat,,,,,,
,9:05 AM,9:15 AM,10,Video Presentation,CHED RAISE 2026: Responding through AI for Societal Empowerment,Secretariat,,,,,,
,9:15 AM,9:18 AM,3,Opening,"Opening Spiel, Introduction of Welcome Remarks",Host,,,,,,
,9:18 AM,9:23 AM,5,Welcome Remarks,Welcome Remarks from Host Institution,"Dr. Bobby Gerardo, Northern Iloilo State University",,,,,,
,9:23 AM,9:24 AM,1,Transition,Introduction of Fireside Chat Moderator,Host,,,,,,
,9:24 AM,9:29 AM,5,Fireside Chat Introduction,Introduction: National AI Upskilling Roadmap,"Sherwin Pelayo, AAP | PCORP",,,,,,
,9:29 AM,10:44 AM,75,Fireside Chat Proper,"AI in Basic Education, Higher Education, Lifelong Learning: Government and Private Sector Partnership","Chair Shirley Agrupis, CHED
Sec. Juan Edgardo ""Sonny"" Angara, DepEd
Dir. Gen. Jose Francisco ""Kiko"" Benitez, TESDA
Fred Ayala, PSAC | PCORP
Michelle Alarcon, AAP
 
Moderator
Sherwin Pelayo, AAP | PCORP",,,,,,
,10:44 AM,10:48 AM,4,Recognition,Recognition of Fireside Chat Discussants,Host,,,,,,
,10:48 AM,10:53 AM,5,Turnover,"Turnover of Philippine Skills Framework for Analytics & AI to CHED, DepEd, TESDA, and Host Universities","Chair Shirley Agrupis, CHED
Sec. Juan Edgardo ""Sonny"" Angara, DepEd
Dir. Gen. Jose Francisco ""Kiko"" Benitez, TESDA
Dr. Bobby Gerardo, Northern Iloilo State University
Dr. Joselito Villaruz, West Visayas State University
Fred Ayala, PSAC | PCORP
Michelle Alarcon, AAP",,,,,,
,10:53 AM,10:58 AM,5,Turnover,Turnover of CHEDx 2024 Coffee Table Book,"Chair Shirley Agrupis, CHED
Dr. Maricar Casquejo, CHED Region 9
Dr. Raul Muyong, CHED Region 6
Dr. Bonifacio Gabales, Jr., University of Southeastern Philippines
Dr. Bobby Gerardo, Northern Iloilo State University
Dr. Joselito Villaruz, West Visayas State University",,,,,,
,10:58 AM,10:59 AM,1,Transition,Introduction of Speaker,Host,,,,,,
,10:59 AM,11:29 AM,30,Keynote,The National AI Strategy of the Philippines (NAIS-PH),"Sec. Renato Solidum, Jr., DOST",,,,,,
,11:29 AM,11:30 AM,1,Recognition,Recognition of Speaker,Host,,,,,,
,11:30 AM,11:35 AM,5,Group Photo,Photo Opportunity,Secretariat,,,,,,
,11:35 AM,11:36 AM,1,Transition,Introduction to HUSAY Projects,Host,,,,,,
,11:36 AM,11:46 AM,10,Video Presentation,Launch of HUSAY Projects,Secretariat,,,,,,
,11:46 AM,11:48 AM,2,Transition,Instructions for Breakout,Host,,,,,,
,11:48 AM,11:50 AM,2,Transition,Invitation to Exhibit Opening,Host,,,,,,
,11:50 AM,12:00 PM,10,Exhibit Opening,Ribbon-Cutting of Exhibit Area,"Chair Shirley Agrupis, CHED
Dr. Raul Muyong, CHED Region 6
Dr. Bobby Gerardo, Northern Iloilo State University
Dr. Joselito Villaruz, West Visayas State University",,,,,,
,12:00 PM,1:30 PM,90,Lunch,Lunch (Play Exhibitors' Videos),Secretariat,,,,,,
,BREAKOUT START,,,PRESIDENTS' FORUM,,,BREAKOUT SESSIONS FOR ADMINISTRATORS & TEACHERS,,,BREAKOUT SESSIONS FOR STUDENTS,,
,1:30 PM,3:00 PM,90,Session #1,Crafting an AI Policy for Education,"Facilitator
Sherwin Pelayo, AAP | PCORP",Session #1,Prompting Literacy: Building the Foundation for AI-Enhanced Teaching,Batangas State University,Session #1,Machine Learning Made Simple: From Concepts to Applications,"Dr. Chris Aliac, Cebu Institute of Technology University"
,3:00 PM,3:15 PM,15,,,,Break,Break,,Break,Break,
,3:15 PM,4:45 PM,90,,,,Session #2,Teaching Smarter with AI: Lesson Planning Made Simple,Polytechnic University of the Philippines,Session #2,"Demystifying the AI World: Core Concepts of AI, ML, DL","Dr. Ace Lagman, FEU Institute of Technology"
,BREAKOUT END,,,,,,,,,,,
,4:45 PM,5:00 PM,15,Transition,"Back to Plenary, Introduction of Day 1 Highlights",Host,,,,,,
,5:00 PM,5:15 PM,15,Highlights,Day 1 Highlights,"(TBD), CHED",,,,,,
,5:15 PM,5:20 PM,5,Closing,"SDE, Closing Spiel, Instructions for Day 2",Host,,,,,,
,5:20 PM,5:30 PM,10,Buffer,Buffer,Secretariat,,,,,,
Summary,7:59 AM,5:30 PM,570,,,,,,,,,
Feb 26,8:00 AM,9:00 AM,60,Registration,"Registration, Morning Coffee",Secretariat,,,,,,
,9:00 AM,9:02 AM,2,Opening,"Opening Spiel, Introduction of Day 1 Recap",Host,,,,,,
,9:02 AM,9:12 AM,10,Recap,"Day 2 Welcome, Day 1 Recap","Dr. Joselito Villaruz, West Visayas State University",,,,,,
,9:12 AM,9:14 AM,2,Transition,Introduction of Panel,Host,,,,,,
